"joke_id","jokes","category","rating"
11,"Америк~нец:
- У нас был случай! Муж застал жену с любовником и убил его! Француз:
- Вот-вот тот же самый случай. Так он убил десять человек. Русский:
- У н~с у одного мужик~ брат~ убили, так он всю страну перевернул, до сих пор не можем разобраться.","russian","0"
12,"Поймали индейцы немца, поляка, русского и говорят им вот вам огненная вода нахаляву (сами они ее обменяли на последние шкуры в ближайшем форте). Пейте сколько хотите стреляйте вон в того орла
на вершине горы, кто попадет того наградим сокровищами Майя, а в противном случае кай-кай. Выходит вперед немец выпивает рюмку стреляет промахивается (уводят).
Выходит поляк выпивает рюмку промахивается (уводят).
Выходит русский выпивает рюмку, со вздохом опускается на траву и начинает пить вот кончается неделя, а вместе с ней и запасы огненной воды русский дрожащими руками берет в руки ружье с разворота стреляет по вершине от орла летят перья. Удивленные индейцы спрашивают:
- Как же ты, о белый вождь это сделал. А он им в ответ:
- А чего особенного из трех стволов да по стае ворон.","russian","0"
13,"Идет мужик по улице. Грязный-прегрязный.
- Эй, мужик, ты чего такой грязный?
- Да с паровозом целовался...
- Ты что, дурак?
- Нет, тещу отправил!","mother_in_low","0"
14,"В магазин электротоваров пришел молодой человек:
- Что бы вы хотели у нас купить? - спрашивает продавец.
- Мне нужно купить подарок для тещи!
- Вот пожалуйста электрический утюг, вот электрическая плита, вот электрическая кофеварка.
- Скажите, а электрического стула у вас в продаже нет?","mother_in_low","0"
15,"- Мою тещу вчера укусила собака.
- Ну и как себя чувствует теща?
- Теща хорошо, а вот собака сдохла.","mother_in_low","0"
16,"На ступеньках церкви, где вот-вот начнется церемония венчания, мать невесты подходит к жениху,
обнимает его и говорит:
- Отныне ты имеешь во мне не только тещу, но и друга...
Минуту спустя к жениху подходит отец невесты и шепчет ему на ухо:
- С таким ""другом"" и врагов не надо!","mother_in_low","0"
17,"Некий Джон избил свою жену и тещу. Состоялся суд, и ему присудили штраф в 1020
долларов.
- Не понимаю, - заявил осужденный, - что за странная сумма?
- Тысяча - это штраф, - объяснил ему судья, - двадцать долларов - это налог на развлечение. Такой налог предусмотрен законодательством нашего штата.","mother_in_low","0"
18,"Трахаются парень с девушкой. Девушка:
- Милый, ты только береги меня от беременности. Парень кончает:
- Бе-е-ре-е-ги-и-и-сь!!!
","sex","1"
19,"Они познакомились в баре. Он пригласил её к себе, предложив:
- Ты не откажешься переспать со мной?
- Со мной этого никогда не случалось, - ответила она.
- Ты никогда не спала с мужчиной?
- Нет, никогда не отказывалась.
","sex","0"
20,"Он и Она. Она:
- Милый какая моя черта тебе больше всего нравится?
- Та, которая делит твою попку пополам.","sex","0"
21,"Лежат Ваня с Маней в кровати. Ваня обнял Маню.
- Мань, ты как батарея! - Цо, теплая?
- Не, ребристая.","sex","0"
22,"Встречаются два приятеля:
- Ты знаешь, среди нас есть педики!..
- Да? Не знаю... А кто?..
- (хитро подмигнув): А поцелуешь - тогда и скажу...","pidors","0"
23,"Идет голубой, виляет задом. Мужик проходит и говорит:
- Будешь вилять - вставлю зонтик в жопу.
- Да-да, вставьте, раскройте и поверните.","pidors","0"
24,"Сержант заходит в казарму там сидит голубой и красит губы. Сержант:
- Рядовой Иванов, Опять за старое! Еще раз увижу я тебя $#@бу! Рядовой:
- Ну, Вы товарищ сержант все обещаете да обещаете...","pidors","0"
25,"Пришел мужчина на пляж. Снимает майку - вся спина искусана. Народ:
- Мужик, что у тебя со спиной-то?! Мужик, отмахиваясь:
- Да вчера тут голубого трахал, дык всю спину изгрыз, зараза!","pidors","0"
26,"Страшно ревнивый муж смотрит на раздевающуюся молодую жену и вдруг замечает у нее на бедре явные синяки от пальцев.
- Это кто же тебя так азартно щупал? - кричит он, выходя из себя.
- Мой патрон, - отвечает она, - перед тем, как повысить мне зарплату.
- Ладно, если так, - говорит ревнивец, успокаиваясь. - А то я думал, что к тебе приставал какой-нибудь тип в метро.","treason","0"
27,"- Странно! - говорит он партнерше. - Как только я вас приглашаю на танец, музыка начинает мне казаться намного короче.
- Естественно, - отвечает она, улыбаясь, - оркестром - то руководит мой муж!","treason","0"
28,"Страшно ревнивая жена мужу:
- Сейчас же покажи это письмо. По почерку видно, что оно от женщины. Да и потом, чего это ты так побледнел, читая его?
- Возьми, дорогая, это счет из твоего Института красоты...","treason","0"
29,"Один служащий регулярно приходил на работу с синяком под глазом.
- Моя жена патологически ревнива, - объяснял он при этом. - Она нашла на моем пиджаке только один белокурый волосок и
вот что со мной сделала.
Однажды он появился совсем покалеченным: оба глаза подбиты и забинтована голова.
- И все от того, что вчера жена нашла три рыжих волосинки у меня в усах...","treason","0"
30,"Католический священник говорит своему коллеге:
- Наступят ли когда-нибудь такие времена, когда нам можно будет жениться?
- Мы до этого не доживем, - отвечает тот. - Может, только наши дети доживут...","religion","0"
31,"Католический священник говорит своему коллеге:
- Наступят ли когда-нибудь такие времена, когда нам можно будет жениться?
- Мы до этого не доживем, - отвечает тот. - Может, только наши дети доживут...","religion","0"
32,"Католический священник говорит своему коллеге:
- Наступят ли когда-нибудь такие времена, когда нам можно будет жениться?
- Мы до этого не доживем, - отвечает тот. - Может, только наши дети доживут...","religion","0"
33,"Католический священник говорит своему коллеге:
- Наступят ли когда-нибудь такие времена, когда нам можно будет жениться?
- Мы до этого не доживем, - отвечает тот. - Может, только наши дети доживут...","religion","0"
34,"Самый длинный анекдот: программа строительства коммунизма,
принятая на XXII съезде партии.","komunism","0"
35,"Встречаются два друга.
- новые анекдоты есть?
- нет.
- и у меня нет. Во, бля, времена настали - и анекдотов-то
новых нет!","komunism","0"
36,"Безанекдотье. Встречаются двое.
- что такое КПСС?
- ну, скажи!
- не знаешь? (шепотом:) коммунистическая партия советского
союза!","komunism","0"
37,"- почему не слышно армянского радио?
- потому что оно передает для глухонемых.","komunism","1"
